iter	Logloss
0	0.6918596191
1	0.6900529175
2	0.6884534302
3	0.686972168
4	0.684303772
5	0.681616394
6	0.6801389771
7	0.6773905029
8	0.6751983643
9	0.6731556396
10	0.6715762329
11	0.6704732666
12	0.6681381836
13	0.6664841919
14	0.6637075195
15	0.6613233643
16	0.6596095581
17	0.6579710693
18	0.6564039307
19	0.6539711304
20	0.6528092041
21	0.6516782837
22	0.6505203857
23	0.6488076172
24	0.6466217041
25	0.6450247803
26	0.6437609253
27	0.642576416
28	0.640112793
29	0.6385223389
30	0.6368526611
31	0.6363657227
32	0.6350220947
33	0.6333261719
34	0.6315585938
35	0.6301077881
36	0.6289003906
37	0.6278513184
38	0.6262443848
39	0.6256204834
40	0.6236098633
41	0.6220762939
42	0.6204390869
43	0.6184605713
44	0.6173826294
45	0.6158077393
46	0.6150582275
47	0.6131355591
48	0.6120436401
49	0.6110333252
50	0.6093059692
51	0.6086871948
52	0.607505127
53	0.6062926636
54	0.6045374756
55	0.6034951172
56	0.6024691772
57	0.6011820068
58	0.6006242065
59	0.6000194092
60	0.5990681152
61	0.5980232544
62	0.5958222656
63	0.5943908691
64	0.5933498535
65	0.5922503662
66	0.5909707031
67	0.5898895264
68	0.5891875
69	0.5883032227
70	0.5862312012
71	0.5843848877
72	0.5839363403
73	0.5828531494
74	0.5819571533
75	0.5814381104
76	0.5803887939
77	0.5791821289
78	0.5775071411
79	0.5765296021
80	0.5753614502
81	0.5744130859
82	0.5737247925
83	0.5726020508
84	0.5718444824
85	0.570342041
86	0.5683930664
87	0.5678059082
88	0.5662398682
89	0.5655638428
90	0.5653323364
91	0.5637406006
92	0.56237146
93	0.5610907593
94	0.5602655029
95	0.5592728271
96	0.5582631836
97	0.5573881226
98	0.5561436768
99	0.5550031738
