iter	Passed	Remaining
0	0	46
1	0	43
2	1	37
3	1	33
4	1	29
5	1	26
6	1	25
7	2	24
8	2	23
9	2	22
10	2	22
11	3	22
12	3	22
13	3	22
14	3	21
15	4	21
16	4	21
17	4	21
18	4	20
19	5	20
20	5	19
21	5	19
22	5	18
23	5	18
24	5	17
25	6	17
26	6	17
27	6	16
28	6	16
29	6	15
30	7	15
31	7	15
32	7	15
33	7	14
34	7	14
35	8	14
36	8	14
37	8	13
38	8	13
39	9	13
40	9	13
41	9	12
42	9	12
43	9	12
44	10	12
45	10	12
46	10	12
47	11	12
48	11	11
49	11	11
50	11	11
51	11	11
52	12	10
53	12	10
54	12	10
55	12	10
56	13	9
57	13	9
58	13	9
59	13	9
60	13	8
61	14	8
62	14	8
63	14	8
64	14	7
65	14	7
66	15	7
67	15	7
68	15	6
69	15	6
70	15	6
71	16	6
72	16	6
73	16	5
74	16	5
75	16	5
76	17	5
77	17	4
78	17	4
79	17	4
80	17	4
81	17	3
82	18	3
83	18	3
84	18	3
85	18	3
86	18	2
87	19	2
88	19	2
89	19	2
90	19	1
91	19	1
92	20	1
93	20	1
94	20	1
95	20	0
96	20	0
97	21	0
98	21	0
99	21	0
